iter,dual_obj,r,Δ,Δₐ_Δₚ,cgits,cgmsg
0,-0.9999999999999993,0.9639828897815469,1.0,0.0,0,
1,-1.322210780575232,0.28509416344327104,1.0,0.947355495797021,3,⊕
2,-1.3471547624807516,3.8190159712258924,1.0,0.16040044388723304,2,⊕
3,-1.457221628227825,1.0878694089415712,1.0,1.1928014937426374,1,✓
4,-1.6357791028474704,0.22928415538555316,1.5,1.0450837405343223,3,⊕
5,-1.7613298584763553,0.14439700364858613,2.2500000000000004,1.0821970520689956,3,⊕
6,-1.8956559900836172,0.06801684297821108,3.3750000000000013,1.0334012396373495,3,⊕
7,-2.056119474856895,0.19875097254416313,5.062500000000002,0.9948946687329676,3,⊕
8,-2.31248644439923,0.29687909051915073,7.593750000000003,1.0203651733095263,3,⊕
9,-2.6018068478323073,0.25784068660280246,11.390625000000004,1.0495007957571993,2,⊕
10,-2.8389423983314828,1.275243725564989,11.390625000000004,0.901129563745323,3,⊕
11,-3.0200298470883027,0.1887509908822942,11.390625000000004,1.1701382668109097,3,✓
12,-3.2966173061640163,0.14008049898783076,17.08593750000001,1.2685755007711903,3,⊕
13,-3.63331250640789,1.8520089597741547,17.08593750000001,0.7184269755143707,4,⊕
14,-3.84742901081394,0.2631785465200817,17.08593750000001,1.1497331676833527,3,✓
15,-4.241747513483077,0.1667296119686676,25.62890625000001,1.1674423205602853,3,⊕
16,-4.4879201787429395,0.702765556378858,25.62890625000001,0.43023379075564994,4,⊕
17,-5.432353880499591,0.19595676393293834,38.44335937500003,1.0524608947269714,4,⊕
18,-6.112962274398285,0.14307289871893988,57.665039062500014,1.2770441203952765,3,⊕
19,-7.454480317928358,1.7021202472788641,57.665039062500014,0.8642526744694746,4,⊕
20,-9.026505390112732,0.1016782508852269,86.49755859375003,1.0224614123268128,4,⊕
21,-10.896396578514214,0.4456859882307747,129.74633789062509,1.0214281449691522,4,⊕
22,-13.884344061594447,0.1228054364545552,194.6195068359376,1.0138510367300058,4,⊕
23,-17.9102268613899,0.3508597535918116,291.9292602539064,1.0305186676462483,3,⊕
24,-24.491992699381854,0.23324816734541415,437.89389038085983,1.0170280861719956,4,⊕
25,-26.558357588365652,10.06762852886885,437.89389038085983,0.37407129301628295,3,⊕
26,-26.558357588365652,10.06762852886885,7.075118692026853,-0.19767167804088184,2,✓
27,-26.558357588365652,10.06762852886885,0.38089038945688003,-1.0088592698998486,1,⊕
28,-30.235192769969217,8.354437424543857,0.5713355841853199,0.9606189192700842,1,⊕
29,-31.48806209698523,1.115892605584591,0.5713355841853199,0.5833654726948513,2,⊕
30,-31.51887155613076,2.2964797520382323,0.5713355841853199,0.1258435883076445,2,⊕
31,-31.693938912970225,0.46167607360833446,0.8570033762779798,1.0754265350779693,2,⊕
32,-31.8002300328385,0.11580623517960961,1.2855050644169697,1.0046511589774614,2,⊕
33,-31.93080010901531,0.46552443589571546,1.9282575966254543,1.011833465656416,2,⊕
34,-32.13146413405639,0.17491389612630873,2.8923863949381814,0.9899279152724721,2,⊕
35,-32.37684462516154,0.0858138088329134,4.338579592407272,1.000137134651779,2,⊕
36,-32.659281728710994,0.11648563627614836,6.5078693886109065,1.0003799221905176,2,⊕
37,-32.95553310290779,0.04273733488714227,9.761804082916361,0.9991815198733768,2,⊕
38,-33.35471785263553,0.15402353306574387,14.64270612437454,1.0029739966764397,2,⊕
39,-33.92636596653074,0.11477892291741403,21.964059186561805,0.9952020068826526,2,⊕
40,-34.273937090721574,0.4775280592170816,21.964059186561805,0.5535107707119946,2,⊕
41,-34.869726015893775,0.08572312259883143,32.94608877984271,0.9973108381961606,3,⊕
42,-35.45028680449377,0.22779334523108036,49.41913316976408,1.0166789225008688,3,⊕
43,-36.28852060645477,0.9945189618940059,74.12869975464612,0.9677213595733243,4,⊕
44,-37.98142438772811,0.3371135971104099,111.1930496319692,1.0214584052242321,4,⊕
45,-39.87686771752806,1.120009570340624,166.78957444795378,0.9627058716420276,4,⊕
46,-43.78894595938527,0.17637088992075348,250.18436167193073,0.9952938119297738,4,⊕
47,-48.57987135034364,0.10344822784581169,375.2765425078961,1.0234983251945733,4,⊕
48,-57.17282464621894,0.24239603846244698,562.914813761844,1.0166863548920233,4,⊕
49,-68.26528230165059,1.1097806916703044,844.3722206427658,0.9835057504486386,3,⊕
50,-86.31666896670413,4.743779996448603,1266.5583309641488,0.9558817760352909,4,⊕
51,-112.9116613801707,0.7770033018378062,1899.8374964462246,0.9665660154414201,4,⊕
52,-154.41387401564862,0.5206049944763137,2849.7562446693387,1.0143191998130698,4,⊕
53,-203.91397134322142,2.7310444924582025,2849.7562446693387,0.8269301338825377,3,⊕
54,-203.91397134322142,2.7310444924582025,153.4171811297665,-3.1253839466321307,1,⊕
55,-203.91397134322142,2.7310444924582025,8.259243754559996,-1.028719588375372,2,⊕
56,-204.56294073817844,8.615113500623703,8.259243754559996,0.1237100997851198,1,⊕
57,-205.32028762949994,2.730252556028659,8.259243754559996,0.03581427144610965,2,⊕
58,-208.8051616743578,8.619163890254098,8.259243754559996,0.3849179392959174,1,⊕
59,-209.56070929093949,2.676478042371998,8.259243754559996,0.04119596147102677,1,⊕
60,-210.3630562900671,8.572950238799011,8.259243754559996,0.11431713861635208,1,⊕
61,-211.01470333734142,2.157240804654899,8.259243754559996,0.031501845425629955,1,⊕
62,-213.81300658793407,3.5618830576886324,8.259243754559996,0.7961753563222397,2,⊕
63,-214.54533082660055,0.12895428636790512,12.388865631839995,0.9743837632529888,3,⊕
64,-214.8234853099857,0.176180993714119,12.388865631839995,0.9481486455069252,2,⊕
65,-215.1681082006835,0.05116936095349956,18.583298447759994,1.0207812554132536,3,⊕
66,-215.59403143927193,0.04432893164782003,27.87494767163999,1.0032663147724605,3,⊕
67,-216.1269411797948,0.2560635618079546,41.81242150746,0.9516181686191802,2,⊕
68,-217.09563562856783,0.10817297388973267,62.71863226119001,1.0111116122851485,3,⊕
69,-218.4562841816405,0.028010391724520703,94.07794839178501,1.0012451125102644,3,⊕
70,-220.4658544162412,0.044286446348314364,141.11692258767755,1.0024901910422435,3,⊕
71,-223.47469200531486,0.12340377672117332,211.67538388151632,0.9924325533479672,3,⊕
72,-228.0024301327503,0.049426212838489296,317.5130758222744,1.0007040984004025,3,⊕
73,-234.59047286394343,1.276623102005166,476.26961373341123,0.9937972878964699,3,⊕
74,-235.2326418546727,9.091667998988923,476.26961373341123,0.09482614106818595,4,⊕
75,-235.2326418546727,9.091667998988923,25.64006719291209,-0.17486895768116553,2,⊕
76,-235.2326418546727,9.091667998988923,1.3803379991086926,-1.0003885790076714,1,⊕
77,-241.4781420907275,1.2326705276804812,1.3803379991086926,0.49766999760077457,1,⊕
78,-241.7263215177154,2.483212940902106,1.3803379991086926,0.3797162584443831,1,⊕
79,-241.9220135062751,0.4713341148973574,2.070506998663039,1.0837598729903737,2,⊕
80,-242.01285428885967,0.06128788585188759,3.1057604979945577,1.0058042498038973,2,⊕
81,-242.13561235721863,0.05092540356968751,4.658640746991836,0.999979032179276,2,⊕
82,-242.31668355824513,0.06042355131666175,6.987961120487753,1.0000415733710495,2,⊕
83,-242.58301855999525,0.05008847314142792,10.481941680731628,0.999835497634497,2,⊕
84,-242.97073916296722,0.048670165152346075,15.722912521097438,0.9976209839705801,2,⊕
85,-243.52201700700243,0.06932030960704733,23.584368781646155,0.9995724561800985,2,⊕
86,-243.60128416135194,0.766411430265929,23.584368781646155,0.21905670448591108,2,⊕
87,-244.57650824558732,0.25378573563278184,35.376553172469215,1.0309403451951715,3,⊕
88,-245.61381835214343,0.10464482279703995,53.06482975870381,1.0005428483565246,3,⊕
89,-246.80406945037612,0.6969570336371453,53.06482975870381,0.9395610249585733,3,⊕
90,-247.926952964237,0.09578836539095989,79.59724463805573,0.9882804303992352,3,⊕
91,-249.63332884634292,0.036122614484027864,119.39586695708357,1.0018756301815919,3,⊕
92,-252.16185859388133,0.030878818287091714,179.0938004356253,1.00046822561354,3,⊕
93,-255.91697026936527,0.2190417655025906,268.640700653438,0.9979597512766138,3,⊕
94,-259.71550963075424,6.844355924405561,268.640700653438,0.8722191156630926,3,⊕
95,-260.6557111273869,8.941969865438478,268.640700653438,0.1139624312017213,3,⊕
96,-261.50278389780215,1.1634159140580271,268.640700653438,0.027002707874828457,3,⊕
97,-261.50278389780215,1.1634159140580271,14.46232431565669,-6.981836286291112,1,⊕
98,-261.50278389780215,1.1634159140580271,0.7785820395140415,-1.0005938389052258,1,⊕
99,-262.40841953093695,1.162955963551175,1.1678730592710622,0.9999993618289276,1,⊕
100,-263.76620148992515,1.1622642896870161,1.7518095889065934,0.9999996854302302,1,⊕
